Wavelength (nm),OD
200,41.29024
205,19.7420037
210,20.02854008
215,20.80486568
220,21.10204974
225,22.89838042
230,21.97611861
235,21.58257304
240,22.55294245
245,21.2983572
250,23.15435146
255,22.83414686
260,24.2545169
265,23.52674187
270,25.2222569
275,41.29024
280,41.29024
285,41.29024
290,41.29024
295,41.29024
300,23.84543466
305,26.22863741
310,41.29024
315,23.88733856
320,17.27294894
325,12.46977846
330,9.082330832
335,6.656500784
340,5.053439728
345,3.914091232
350,3.158189264
355,2.595140352
360,2.198030656
365,1.916080496
370,1.708599072
375,1.5844012
380,1.481403184
385,1.2962128
390,1.14375184
395,1.036161504
400,0.947017664
405,0.892929888
410,0.84828888
415,0.818589168
420,0.784223984
425,0.753158768
430,0.725293952
435,0.710998832
440,0.683461168
445,0.660170384
450,0.616547408
455,0.599509088
460,0.570234064
465,0.553006768
470,0.523810992
475,0.535121104
480,0.534897584
485,0.558487072
490,0.537132784
495,0.55428896
500,0.556936656
505,0.582373232
510,0.610329488
515,0.691932576
520,0.733381312
525,0.808246288
530,0.895254496
535,0.993552496
540,1.108309696
545,1.233365072
550,1.374650032
555,1.519360944
560,1.681975808
565,1.8551144
570,2.033987296
575,2.230701152
580,2.437877776
585,2.646759248
590,2.869165712
595,3.095414688
600,3.348994064
605,3.56408736
610,3.812917952
615,4.06236424
620,4.317638304
625,4.567781568
630,4.827221232
635,5.081013968
640,5.337381248
645,5.582192544
650,5.818886
655,6.05981008
660,6.313100912
665,6.538862208
670,6.75115744
675,6.954009968
680,7.16516728
685,7.361826272
690,7.54932704
695,7.731014256
700,7.891651984
705,8.057526176
710,8.199812912
715,8.347096336
720,8.475774768
725,8.61214432
730,8.709743312
735,8.821464704
740,8.917027632
745,9.002904016
750,9.077618624
755,9.164317968
760,9.236647008
765,9.290858736
770,9.342042784
775,9.384915952
780,9.416637504
785,9.453796688
790,9.475116432
795,9.4967044
800,9.509601504
805,9.516666768
810,9.533883904
815,9.495361248
820,9.496751136
825,9.497850448
830,9.479519776
835,9.431727136
840,9.40166776
845,9.361568272
850,9.3464888
855,9.260183664
860,9.096808832
865,9.060507152
870,9.021096512
875,8.931749472
880,8.78736368
885,8.625065808
890,8.516136384
895,8.43953608
900,8.414570928
905,8.381408688
910,8.318780416
915,8.252120656
920,8.158792928
925,8.029324048
930,8.01874952
935,7.842355664
940,7.798994816
945,7.679714384
950,7.5937364
955,7.568114912
960,7.490390912
965,7.42047792
970,7.311495664
975,7.22372952
980,7.074684352
985,6.999331696
990,6.932913744
995,6.861531616
1000,6.781785776
1005,6.711887008
1010,6.649673264
1015,6.549351392
1020,6.402817776
1025,6.37624328
1030,6.347382784
1035,6.231835136
1040,6.062872304
1045,6.013982384
1050,5.986924272
1055,5.931877392
1060,5.85965808
1065,5.690723696
1070,5.583901456
1075,5.602744192
1080,5.581788176
1085,5.437536496
1090,5.274720464
1095,5.172122752
1100,5.13848096
1105,5.149933312
1110,5.200127776
1115,5.131112928
1120,5.001725328
1125,4.87064304
1130,4.70796112
1135,4.677696512
1140,4.76527368
1145,4.664533216
1150,4.594990048
1155,4.516152512
1160,4.424682032
1165,4.318855472
1170,4.197104128
1175,4.133008752
1180,4.033044512
1185,4.047116112
1190,4.103120064
1195,3.980543728
1200,3.911096064
1205,3.858125888
1210,3.845271456
1215,3.877964304
1220,3.81520192
1225,3.743610496
1230,3.67806224
1235,3.680004832
1240,3.680961904
1245,3.596201088
1250,3.49958152
1255,3.415676176
1260,3.40850728
1265,3.414879632
1270,3.310424672
1275,3.272781872
1280,3.253532736
1285,3.160574832
1290,3.12989976
1295,3.145684336
1300,3.101439568
1305,3.013764864
1310,3.01261272
1315,3.01363888
1320,2.896124256
1325,2.71389856
1330,2.535779536
1335,2.545789168
1340,2.82781248
1345,3.182103872
1350,3.27333864
1355,3.047678944
1360,2.59233416
1365,2.324266624
1370,2.850493664
1375,3.199705056
1380,2.709202608
1385,2.091074304
1390,2.183203152
1395,2.3577296
1400,2.506022928
1405,2.346435744
1410,2.263956864
1415,2.301374112
1420,2.333390304
1425,2.35054648
1430,2.2790912
1435,2.19362528
1440,2.13615016
1445,2.081653952
1450,2.072698928
1455,2.132947728
1460,2.1804376
1465,2.147980464
1470,2.067694112
1475,1.993111584
1480,1.937904176
1485,1.909990592
1490,1.892769392
1495,1.835471056
1500,1.785191248
1505,1.85320432
1510,1.891414048
1515,1.842981328
1520,1.782502912
1525,1.79952904
1530,1.84278016
1535,1.750200208
1540,1.635743744
1545,1.671978368
1550,1.740107264
1555,1.737252304
1560,1.636509808
1565,1.51354536
1570,1.49355048
1575,1.543147536
1580,1.653737104
1585,1.694742864
1590,1.600638912
1595,1.455879232
1600,1.45446496
1605,1.530093968
1610,1.500999792
1615,1.47837144
1620,1.417984464
1625,1.318822864
1630,1.335871344
1635,1.400283712
1640,1.478282032
1645,1.528068064
1650,1.449957984
1655,1.325264304
1660,1.241883216
1665,1.23582176
1670,1.28542288
1675,1.349814928
1680,1.385513104
1685,1.303790128
1690,1.171586176
1695,1.194690016
1700,1.245733856
1705,1.192456848
1710,1.203195968
1715,1.16529104
1720,1.182910512
1725,1.15690904
1730,1.115502976
1735,1.112727264
1740,1.206432944
1745,1.21405904
1750,1.2073128
1755,1.187769024
1760,1.10208568
1765,1.055083488
1770,0.99154488
1775,0.968434944
1780,0.993717088
1785,1.026399776
1790,1.018911856
1795,0.95494856
1800,0.838683616